date,SlowD,SlowK
2019-01-29 12:18,84.6024,81.8411
2019-01-29 12:19,73.1353,48.5077
2019-01-29 12:20,61.1533,53.1111
2019-01-29 12:21,52.2914,55.2554
2019-01-29 12:22,55.8479,59.1771
2019-01-29 12:23,48.6165,31.4171
2019-01-29 12:24,34.2042,12.0183
2019-01-29 12:25,18.2286,11.2503
2019-01-29 12:26,11.0497,9.8806
2019-01-29 12:27,12.1449,15.304
2019-01-29 12:28,17.3351,26.8207
2019-01-29 12:29,34.0929,60.154
2019-01-29 12:30,47.2167,54.6755
2019-01-29 12:31,58.2766,60.0004
2019-01-29 12:32,58.2254,60.0004
2019-01-29 12:33,57.7765,53.3288
2019-01-29 12:34,54.5637,50.3618
2019-01-29 12:35,46.4519,35.6649
2019-01-29 12:36,46.7724,54.2905
2019-01-29 12:37,50.6972,62.1361
2019-01-29 12:38,64.0143,75.6165
2019-01-29 12:39,64.9145,56.9909
2019-01-29 12:40,64.0512,59.5463
2019-01-29 12:41,59.1,60.7628
2019-01-29 12:42,68.9818,86.6361
2019-01-29 12:43,78.1297,86.9901
2019-01-29 12:45,78.3503,61.4246
2019-01-29 12:47,66.8497,52.1344
2019-01-29 12:48,57.0811,57.6843
2019-01-29 12:49,58.453,65.5404
2019-01-29 12:50,60.8994,59.4736
2019-01-29 12:51,59.0077,52.0092
2019-01-29 12:52,57.6478,61.4608
2019-01-29 12:53,55.3846,52.6838
2019-01-29 12:54,53.0731,45.0746
2019-01-29 12:55,50.3636,53.3323
2019-01-29 12:56,58.4006,76.7949
2019-01-29 12:58,65.191,65.4459
2019-01-29 12:59,61.107,41.0801
2019-01-29 13:00,40.8015,15.8783
2019-01-29 13:01,21.9753,8.9675
2019-01-29 13:02,11.9316,10.9488
2019-01-29 13:03,17.5737,32.8047
2019-01-29 13:04,36.6305,66.138
2019-01-29 13:06,62.4884,88.5225
2019-01-29 13:07,84.8868,100.0
2019-01-29 13:08,94.4067,94.6976
2019-01-29 13:09,89.8817,74.9476
2019-01-29 13:10,77.5911,63.1281
2019-01-29 13:11,62.9611,50.8075
2019-01-29 13:12,50.3866,37.2242
2019-01-29 13:13,39.769,31.2754
2019-01-29 13:14,32.244,28.2326
2019-01-29 13:15,29.2468,28.2326
2019-01-29 13:16,28.9087,30.2611
2019-01-29 13:18,36.4735,50.9269
2019-01-29 13:19,54.5791,82.5492
2019-01-29 13:20,73.1941,86.1063
2019-01-29 13:21,84.9206,86.1063
2019-01-29 13:22,78.8799,64.4271
2019-01-29 13:23,64.8463,44.0057
2019-01-29 13:24,46.5042,31.0798
2019-01-29 13:26,36.606,34.7325
2019-01-29 13:27,34.0704,36.3991
2019-01-29 13:28,34.3854,32.0247
2019-01-29 13:29,39.7177,50.7292
2019-01-29 13:30,54.8069,81.6667
2019-01-29 13:31,77.087,98.8651
2019-01-29 13:32,93.4766,99.8981
2019-01-29 13:33,95.1724,86.7541
2019-01-29 13:34,87.2227,75.0159
2019-01-29 13:35,67.8175,41.6825
2019-01-29 13:36,46.0639,21.4932
2019-01-29 13:37,21.0586,0.0
2019-01-29 13:38,8.4529,3.8655
2019-01-29 13:39,9.8328,25.633
2019-01-29 13:40,29.4883,58.9663
2019-01-29 13:41,51.3498,69.4501
2019-01-29 13:42,66.528,71.1675
2019-01-29 13:43,70.595,71.1675
2019-01-29 13:44,77.4955,90.1515
2019-01-29 13:45,79.6993,77.7789
2019-01-29 13:46,70.792,44.4456
2019-01-29 13:47,48.3987,22.9716
2019-01-29 13:48,29.5523,21.2396
2019-01-29 13:49,29.2653,43.5846
2019-01-29 13:50,34.569,38.8827
2019-01-29 13:51,43.1992,47.1303
2019-01-29 13:52,43.3738,44.1084
2019-01-29 13:53,47.6801,51.8017
2019-01-29 13:54,51.3284,58.075
2019-01-29 13:55,50.2597,40.9025
2019-01-29 13:56,45.8339,38.5242
2019-01-29 13:57,31.35,14.6232
2019-01-29 13:58,30.0547,37.0168
2019-01-29 13:59,34.2836,51.211
2019-01-29 14:00,57.5907,84.5443
2019-01-29 14:01,75.5436,90.8754
2019-01-29 14:02,87.2588,86.3567
2019-01-29 14:03,81.3125,66.7055
2019-01-29 14:05,70.057,57.1088
2019-01-29 14:06,60.3037,57.0967
2019-01-29 14:07,54.8618,50.38
2019-01-29 14:08,45.526,29.1013
2019-01-29 14:09,35.1645,26.0121
2019-01-29 14:10,33.1853,44.4423
2019-01-29 14:11,44.1182,61.9001
2019-01-29 14:12,60.8431,76.1868
2019-01-29 14:13,74.0705,84.1245
2019-01-29 14:14,82.5656,87.3854
2019-01-29 14:16,75.1873,54.0521
2019-01-29 14:17,54.0521,20.7187
2019-01-29 14:18,24.9236,0.0
2019-01-29 14:19,6.9062,0.0
2019-01-29 14:20,-0.0,0.0
2019-01-29 14:21,5.8407,17.5222
2019-01-29 14:22,22.5866,50.2377
2019-01-29 14:23,39.3325,50.2377
2019-01-29 14:24,45.6752,36.5504
2019-01-29 14:25,31.5844,7.9651
2019-01-29 14:26,17.4936,7.9651
2019-01-29 14:27,9.2905,11.9413
2019-01-29 14:28,9.2392,7.8111
2019-01-29 14:29,12.0329,16.3465
2019-01-29 14:30,12.9457,14.6797
2019-01-29 14:31,17.5004,21.4751
2019-01-29 14:32,20.8131,26.2846
2019-01-29 14:33,30.1555,42.7068
2019-01-29 14:34,46.0787,69.2447
2019-01-29 14:35,61.7315,73.2429
2019-01-29 14:36,64.388,50.6763
2019-01-29 14:37,49.6754,25.1071
2019-01-29 14:38,30.655,16.1817
2019-01-29 14:39,24.8247,33.1854
2019-01-29 14:40,32.1354,47.0392
2019-01-29 14:41,43.1365,49.1848
2019-01-29 14:42,52.0972,60.0677
2019-01-29 14:43,49.2341,38.4498
2019-01-29 14:44,42.9547,30.3468
2019-01-29 14:45,23.9648,3.0978
2019-01-29 14:46,15.0486,11.7012
2019-01-29 14:47,13.7025,26.3084
2019-01-29 14:48,21.4267,26.2705
2019-01-29 14:49,23.4154,17.6672
