date,1. open,2. high,3. low,4. close,5. volume
2019-01-22 15:16:00,146.603,146.72,146.545,146.61,24025.0
2019-01-22 15:17:00,146.6204,146.79,146.6204,146.71,49144.0
2019-01-22 15:18:00,146.67,146.7436,146.57,146.7436,21308.0
2019-01-22 15:19:00,146.7235,146.74,146.7,146.72,22111.0
2019-01-22 15:20:00,146.68,146.695,146.62,146.69,17130.0
2019-01-22 15:21:00,146.685,146.75,146.59,146.63,62361.0
2019-01-22 15:22:00,146.63,146.74,146.6,146.74,29409.0
2019-01-22 15:23:00,146.75,146.88,146.75,146.88,41797.0
2019-01-22 15:24:00,146.91,146.97,146.89,146.91,38714.0
2019-01-22 15:25:00,146.94,147.06,146.94,147.02,53339.0
2019-01-22 15:26:00,147.01,147.06,146.95,147.035,38836.0
2019-01-22 15:27:00,147.03,147.12,146.905,147.12,58395.0
2019-01-22 15:28:00,147.1,147.1,147.0,147.0,39279.0
2019-01-22 15:29:00,147.01,147.22,147.01,147.2117,52719.0
2019-01-22 15:30:00,147.21,147.24,147.12,147.12,23573.0
2019-01-22 15:31:00,147.11,147.17,147.03,147.04,32453.0
2019-01-22 15:32:00,147.08,147.09,146.85,146.87,43918.0
2019-01-22 15:33:00,146.87,146.91,146.81,146.835,35358.0
2019-01-22 15:34:00,146.84,146.84,146.7,146.72,40102.0
2019-01-22 15:35:00,146.72,146.77,146.6679,146.7,47181.0
2019-01-22 15:36:00,146.72,146.93,146.71,146.93,65180.0
2019-01-22 15:37:00,146.95,147.03,146.77,146.8,56624.0
2019-01-22 15:38:00,146.82,146.95,146.82,146.89,37665.0
2019-01-22 15:39:00,146.88,147.05,146.88,147.04,50311.0
2019-01-22 15:40:00,147.06,147.6,147.06,147.6,143232.0
2019-01-22 15:41:00,147.6,147.62,147.41,147.44,69204.0
2019-01-22 15:42:00,147.43,147.73,147.34,147.7,58738.0
2019-01-22 15:43:00,147.6749,147.68,147.5365,147.645,86949.0
2019-01-22 15:44:00,147.65,147.71,147.5,147.5,59355.0
2019-01-22 15:45:00,147.486,147.53,147.4,147.49,40588.0
2019-01-22 15:46:00,147.46,147.4725,147.33,147.359,75541.0
2019-01-22 15:47:00,147.36,147.49,147.36,147.435,44463.0
2019-01-22 15:48:00,147.44,147.51,147.38,147.445,40863.0
2019-01-22 15:49:00,147.4,147.473,147.31,147.36,124582.0
2019-01-22 15:50:00,147.37,147.37,147.2,147.24,39276.0
2019-01-22 15:51:00,147.23,147.27,147.2,147.2,32841.0
2019-01-22 15:52:00,147.18,147.24,147.153,147.22,46097.0
2019-01-22 15:53:00,147.21,147.21,147.02,147.07,57053.0
2019-01-22 15:54:00,147.07,147.16,147.06,147.16,61303.0
2019-01-22 15:55:00,147.17,147.23,147.12,147.13,65288.0
2019-01-22 15:56:00,147.15,147.17,146.99,147.02,178040.0
2019-01-22 15:57:00,147.03,147.07,147.02,147.04,74625.0
2019-01-22 15:58:00,147.025,147.15,147.025,147.12,124860.0
2019-01-22 15:59:00,147.13,147.27,147.095,147.245,140481.0
2019-01-22 16:00:00,147.25,147.81,147.25,147.81,462509.0
2019-01-23 09:31:00,148.26,148.78,147.85,147.85,383211.0
2019-01-23 09:32:00,147.82,147.82,147.2762,147.42,98135.0
2019-01-23 09:33:00,147.3512,147.36,146.83,147.0225,105848.0
2019-01-23 09:34:00,147.02,147.2315,146.88,146.95,104397.0
2019-01-23 09:35:00,146.88,146.88,146.67,146.72,111636.0
2019-01-23 09:36:00,146.7,146.98,146.7,146.88,104956.0
2019-01-23 09:37:00,146.92,146.92,146.49,146.61,111789.0
2019-01-23 09:38:00,146.65,146.65,146.15,146.16,142221.0
2019-01-23 09:39:00,146.16,146.49,146.16,146.42,117862.0
2019-01-23 09:40:00,146.4,146.58,146.275,146.275,71257.0
2019-01-23 09:41:00,146.4,146.562,146.32,146.52,90151.0
2019-01-23 09:42:00,146.5003,146.51,146.3,146.44,83244.0
2019-01-23 09:43:00,146.52,146.7,146.46,146.655,117106.0
2019-01-23 09:44:00,146.67,146.82,146.63,146.75,79617.0
2019-01-23 09:45:00,146.76,146.925,146.6301,146.6301,72347.0
2019-01-23 09:46:00,146.64,146.69,146.6,146.635,31772.0
2019-01-23 09:47:00,146.56,146.58,146.44,146.5,96258.0
2019-01-23 09:48:00,146.48,146.51,146.381,146.39,58869.0
2019-01-23 09:49:00,146.37,146.58,146.3,146.515,72744.0
2019-01-23 09:50:00,146.54,146.59,146.49,146.49,45164.0
2019-01-23 09:51:00,146.46,146.57,146.42,146.52,79904.0
2019-01-23 09:52:00,146.49,146.49,146.27,146.2882,75708.0
2019-01-23 09:53:00,146.28,146.45,146.2,146.45,69516.0
2019-01-23 09:54:00,146.45,146.45,146.3,146.3,85466.0
