date,SlowK,SlowD
2019-01-22 10:55,14.513,37.6992
2019-01-22 10:56,2.4554,16.5313
2019-01-22 10:57,3.3096,6.7593
2019-01-22 10:58,0.8542,2.2064
2019-01-22 10:59,2.314,2.1593
2019-01-22 11:00,5.4596,2.8759
2019-01-22 11:01,12.1013,6.625
2019-01-22 11:02,18.3929,11.9846
2019-01-22 11:03,19.023,16.5058
2019-01-22 11:04,17.7981,18.4047
2019-01-22 11:05,19.39,18.7371
2019-01-22 11:06,38.9279,25.372
2019-01-22 11:07,63.1408,40.4862
2019-01-22 11:08,79.261,60.4433
2019-01-22 11:09,55.0933,65.8317
2019-01-22 11:10,26.3421,53.5655
2019-01-22 11:11,11.3124,30.9159
2019-01-22 11:12,30.9529,22.8691
2019-01-22 11:13,48.8241,30.3631
2019-01-22 11:14,60.0119,46.5963
2019-01-22 11:15,44.012,50.9494
2019-01-22 11:16,54.2093,52.7444
2019-01-22 11:17,65.9211,54.7142
2019-01-22 11:18,95.0842,71.7382
2019-01-22 11:19,99.4704,86.8252
2019-01-22 11:20,94.7086,96.4211
2019-01-22 11:21,91.5345,95.2378
2019-01-22 11:22,81.813,89.352
2019-01-22 11:23,78.9366,84.0947
2019-01-22 11:24,53.6547,71.4681
2019-01-22 11:25,39.1165,57.2359
2019-01-22 11:26,25.0894,39.2869
2019-01-22 11:27,44.2704,36.1588
2019-01-22 11:28,50.1964,39.8521
2019-01-22 11:29,58.5278,50.9982
2019-01-22 11:30,41.5229,50.0824
2019-01-22 11:31,45.5572,48.536
2019-01-22 11:32,58.8911,48.6571
2019-01-22 11:33,83.6599,62.7027
2019-01-22 11:34,81.6252,74.7254
2019-01-22 11:35,48.2918,71.1923
2019-01-22 11:36,25.8462,51.9211
2019-01-22 11:37,16.0383,30.0588
2019-01-22 11:38,21.8666,21.2504
2019-01-22 11:39,39.9647,25.9565
2019-01-22 11:40,59.7184,40.5166
2019-01-22 11:41,55.9092,51.8641
2019-01-22 11:42,34.0134,49.8803
2019-01-22 11:43,8.7768,32.8998
2019-01-22 11:44,14.898,19.2294
2019-01-22 11:45,9.9257,11.2002
2019-01-22 11:46,8.5274,11.117
2019-01-22 11:47,0.9084,6.4538
2019-01-22 11:48,5.2956,4.9105
2019-01-22 11:49,15.5392,7.2477
2019-01-22 11:50,28.7859,16.5402
2019-01-22 11:51,47.9321,30.7524
2019-01-22 11:52,49.8776,42.1986
2019-01-22 11:53,39.813,45.8743
2019-01-22 11:54,33.4863,41.059
2019-01-22 11:55,40.9883,38.0959
2019-01-22 11:56,51.3877,41.9541
2019-01-22 11:57,61.089,51.155
2019-01-22 11:58,46.6528,53.0432
2019-01-22 11:59,33.3361,47.026
2019-01-22 12:00,9.3811,29.79
2019-01-22 12:01,7.7375,16.8182
2019-01-22 12:02,20.7459,12.6215
2019-01-22 12:03,29.2542,19.2459
2019-01-22 12:04,58.6661,36.2221
2019-01-22 12:05,78.2049,55.3751
2019-01-22 12:06,83.9077,73.5929
2019-01-22 12:07,80.4595,80.8574
2019-01-22 12:08,78.9777,81.115
2019-01-22 12:09,93.1648,84.2007
2019-01-22 12:10,95.6598,89.2674
2019-01-22 12:11,91.4276,93.4174
2019-01-22 12:12,82.6189,89.9021
2019-01-22 12:13,50.2388,74.7618
2019-01-22 12:14,22.8277,51.8951
2019-01-22 12:15,1.4042,24.8236
2019-01-22 12:16,2.2704,8.8341
2019-01-22 12:17,15.5886,6.4211
2019-01-22 12:18,45.4006,21.0865
2019-01-22 12:19,76.6806,45.8899
2019-01-22 12:20,87.855,69.9787
2019-01-22 12:21,75.3726,79.9694
2019-01-22 12:22,53.4342,72.2206
2019-01-22 12:23,41.6637,56.8235
2019-01-22 12:24,37.8672,44.3217
2019-01-22 12:25,55.8647,45.1319
2019-01-22 12:26,47.4818,47.0712
2019-01-22 12:27,44.8903,49.4123
2019-01-22 12:28,19.2499,37.2073
2019-01-22 12:29,14.7023,26.2808
2019-01-22 12:30,2.5647,12.1723
2019-01-22 12:31,1.2581,6.175
2019-01-22 12:32,8.4752,4.0993
2019-01-22 12:33,15.975,8.5694
2019-01-22 12:34,32.3096,18.9199
2019-01-22 12:35,29.8545,26.0464
2019-01-22 12:36,28.6043,30.2561
2019-01-22 12:37,38.7882,32.4157
2019-01-22 12:38,61.803,43.0652
2019-01-22 12:39,80.1913,60.2609
2019-01-22 12:40,58.2108,66.7351
2019-01-22 12:41,40.9599,59.7873
2019-01-22 12:42,47.9019,49.0242
2019-01-22 12:43,67.8628,52.2415
2019-01-22 12:44,88.7837,68.1828
2019-01-22 12:45,79.7759,78.8075
2019-01-22 12:46,75.9143,81.4913
2019-01-22 12:47,44.4677,66.7193
2019-01-22 12:48,34.23,51.5373
2019-01-22 12:49,15.4186,31.3721
2019-01-22 12:50,37.6431,29.0973
2019-01-22 12:51,31.5293,28.197
2019-01-22 12:52,61.7785,43.6503
2019-01-22 12:53,68.1233,53.8104
2019-01-22 12:54,90.234,73.3786
